Time (s),Distance (mm)
82.204914,2051
82.302783,2046
82.398369,2046
82.49622,2053
82.592954,2048
82.689392,2058
82.786018,2049
82.883469,2051
82.980279,2048
83.07737,2051
83.177653,2053
83.271092,2044
83.369033,2056
83.46555,2051
83.562794,2049
83.659477,2051
83.756683,2048
83.854312,2050
83.95063,2047
84.047021,2052
84.14401,2047
84.241965,2051
84.337689,2054
84.43452,2050
84.531987,2044
84.628166,2048
84.726449,2051
84.82329,2047
84.920213,2052
85.017719,2053
85.114905,2051
85.211858,2054
85.307894,2047
85.404848,2049
85.501696,2047
85.601615,2045
85.696132,2049
85.79203,2051
85.889914,2051
85.986989,2056
86.084414,2045
86.180611,2051
86.278096,2050
86.374425,2051
86.488431,2049
86.568455,2053
86.665968,2051
86.763698,2046
86.860245,2052
86.957819,2046
87.05405,2044
87.150717,2043
87.247302,2046
87.34502,2046
87.441491,2048
87.539266,2052
87.636431,2050
87.785948,2044
87.829052,2047
87.928501,2047
88.025037,2046
88.121965,2051
88.21794,2050
88.315015,2046
88.411841,2046
88.50825,2053
88.612905,2051
88.702954,2053
88.800687,2051
88.896641,2050
88.993864,2046
89.090481,2058
89.188856,2051
89.286184,2047
89.382056,2052
89.479009,2051
89.575804,2051
89.672492,2048
89.769698,2052
89.869236,2052
89.963916,2053
90.060792,2048
90.157399,2048
90.255118,2042
90.352756,2045
90.450406,2052
90.545693,2049
90.648108,2052
90.739773,2047
90.836224,2053
90.934852,2056
91.030608,2051
91.12794,2056
91.225174,2047
91.340439,2054
91.420282,2048
91.515202,2041
91.612767,2048
91.709192,2056
91.806652,2051
91.903222,2050
92.000936,2053
92.097776,2049
92.194662,2047
92.291326,2050
92.388587,2045
92.486617,2052
92.582957,2045
92.679493,2053
92.776294,2042
92.874637,2045
92.970343,2061
93.068006,2047
93.16537,2055
93.262088,2049
93.358816,2051
93.455715,2052
93.552565,2046
93.650316,2040
93.746658,2053
93.844426,2049
93.941279,2049
94.03741,2042
94.134423,2049
94.232247,2048
94.328479,2044
94.425381,2053
94.52295,2048
94.619191,2048
94.762419,2046
94.813481,2053
94.910537,2054
95.007295,2055
95.105161,2046
95.201753,2058
95.298849,2052
95.395411,2046
95.492107,2055
95.589863,2043
95.686184,2046
95.783892,2052
95.88081,2048
95.977608,2042
96.074171,2051
96.171902,2050
96.269,2048
96.365571,2044
96.463482,2043
96.560942,2045
96.657093,2051
96.7534,2047
96.851653,2042
96.948113,2061
97.056855,2051
97.141551,2041
97.238093,2050
97.337081,2051
97.432196,2052
97.529095,2042
97.625977,2049
97.723528,2054
97.823019,2049
97.91768,2048
98.01443,2049
98.111838,2054
98.208961,2050
98.306039,2054
98.402163,2049
98.500598,2047
98.596891,2051
98.694694,2055
98.790888,2049
98.887311,2059
98.984875,2050
99.081808,2054
99.179399,2049
99.275153,2052
99.372848,2050
99.470235,2057
99.568689,2051
99.663699,2047
